url_path,views_total,views_unique
/lulunac27a/lulunac27a,5,5
/lulunac27a/lulunac27a/commits/main,3,3
/lulunac27a/lulunac27a/projects,2,2
/lulunac27a/lulunac27a/actions/runs/16360042535/workflow,1,1
/lulunac27a/lulunac27a/commit/838625f171d8864ef4c739a4f0f8be8a09ae1936,1,1
/lulunac27a/lulunac27a/commit/841d1dccae8e8be5787d31590eb4e43b9aef048b,1,1
/lulunac27a/lulunac27a/commit/87eef4500e320f9fbf7fef364a0af242e57c68ed,1,1
/lulunac27a/lulunac27a/commits,1,1
/lulunac27a/lulunac27a/compare/main,1,1
/lulunac27a/lulunac27a/pulse,1,1
