time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-15 00:00:00+00:00,9,7,0,0
2025-02-16 00:00:00+00:00,7,5,0,0
2025-02-17 00:00:00+00:00,1,1,0,0
2025-02-21 00:00:00+00:00,1,1,0,0
2025-02-28 00:00:00+00:00,0,0,1,1
2025-03-01 00:00:00+00:00,0,0,1,1
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-04 00:00:00+00:00,2,2,0,0
2025-03-05 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-11 00:00:00+00:00,1,1,0,0
2025-03-19 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-26 00:00:00+00:00,1,1,0,0
2025-03-30 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,1,1,0,0
2025-04-01 00:00:00+00:00,4,4,0,0
2025-04-03 00:00:00+00:00,0,0,2,1
2025-04-12 00:00:00+00:00,2,2,0,0
2025-04-14 00:00:00+00:00,1,1,0,0
2025-04-17 00:00:00+00:00,1,1,0,0
2025-05-11 00:00:00+00:00,1,1,0,0
2025-05-15 00:00:00+00:00,1,1,0,0
2025-05-23 00:00:00+00:00,1,1,0,0
2025-05-27 00:00:00+00:00,1,1,0,0
2025-05-30 00:00:00+00:00,1,1,0,0
2025-06-08 00:00:00+00:00,1,1,0,0
2025-06-11 00:00:00+00:00,1,1,0,0
2025-06-13 00:00:00+00:00,1,1,0,0
2025-06-14 00:00:00+00:00,1,1,0,0
2025-06-21 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,1,1,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-09 00:00:00+00:00,2,2,0,0
2025-07-11 00:00:00+00:00,2,2,0,0
2025-07-13 00:00:00+00:00,0,0,1,1
2025-08-01 00:00:00+00:00,1,1,0,0
2025-08-12 00:00:00+00:00,1,1,0,0
2025-08-17 00:00:00+00:00,1,1,0,0
2025-08-29 00:00:00+00:00,2,2,0,0
2025-08-30 00:00:00+00:00,1,1,0,0
2025-09-01 00:00:00+00:00,1,1,1,1
2025-09-09 00:00:00+00:00,1,1,0,0
2025-09-10 00:00:00+00:00,0,0,3,1
2025-09-12 00:00:00+00:00,1,1,0,0
