time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-15 00:00:00+00:00,1,1,0,0
2025-02-17 00:00:00+00:00,0,0,2,1
2025-02-18 00:00:00+00:00,1,1,0,0
2025-02-27 00:00:00+00:00,1,1,0,0
2025-02-28 00:00:00+00:00,2,2,0,0
2025-03-03 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-11 00:00:00+00:00,1,1,0,0
2025-03-19 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,2,2,0,0
2025-03-30 00:00:00+00:00,1,1,0,0
2025-04-03 00:00:00+00:00,1,1,0,0
2025-04-10 00:00:00+00:00,1,1,0,0
2025-04-14 00:00:00+00:00,2,2,0,0
2025-04-26 00:00:00+00:00,1,1,0,0
2025-05-11 00:00:00+00:00,1,1,0,0
2025-05-15 00:00:00+00:00,1,1,0,0
2025-05-20 00:00:00+00:00,1,1,0,0
2025-05-23 00:00:00+00:00,1,1,0,0
2025-05-27 00:00:00+00:00,1,1,0,0
2025-05-30 00:00:00+00:00,1,1,0,0
2025-06-08 00:00:00+00:00,1,1,0,0
2025-06-10 00:00:00+00:00,1,1,0,0
2025-06-13 00:00:00+00:00,1,1,0,0
2025-06-15 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,1,1,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-09 00:00:00+00:00,2,2,0,0
2025-07-10 00:00:00+00:00,1,1,0,0
2025-07-11 00:00:00+00:00,1,1,0,0
2025-08-01 00:00:00+00:00,1,1,0,0
2025-08-16 00:00:00+00:00,1,1,0,0
2025-08-17 00:00:00+00:00,1,1,0,0
2025-08-20 00:00:00+00:00,1,1,0,0
2025-08-27 00:00:00+00:00,0,0,1,1
2025-08-29 00:00:00+00:00,1,1,0,0
2025-09-01 00:00:00+00:00,1,1,0,0
2025-09-09 00:00:00+00:00,1,1,0,0
2025-09-12 00:00:00+00:00,0,0,1,1
2025-09-17 00:00:00+00:00,1,1,0,0
2025-09-20 00:00:00+00:00,1,1,0,0
2025-09-21 00:00:00+00:00,1,1,0,0
2025-09-23 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-09-30 00:00:00+00:00,1,1,0,0
2025-10-09 00:00:00+00:00,0,0,1,1
2025-10-12 00:00:00+00:00,0,0,1,1
2025-10-20 00:00:00+00:00,1,1,0,0
2025-10-26 00:00:00+00:00,1,1,0,0
2025-10-28 00:00:00+00:00,1,1,0,0
2025-11-06 00:00:00+00:00,2,2,0,0
2025-11-13 00:00:00+00:00,1,1,0,0
2025-11-14 00:00:00+00:00,1,1,0,0
2025-11-16 00:00:00+00:00,1,1,0,0
2025-11-21 00:00:00+00:00,1,1,0,0
2025-12-04 00:00:00+00:00,1,1,0,0
2025-12-06 00:00:00+00:00,1,1,0,0
2025-12-17 00:00:00+00:00,1,1,0,0
2025-12-21 00:00:00+00:00,1,1,0,0
